1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,Index
33.7191,84.1783,56.2171,79.9842,43.0707,82.3752,63.3058,40.2619,48.8375,69.8578,27.7708,47.7199,71.1536,35.8899,25.7960,53.1194,18.3683,96.1424,99.2684,60.3740,84.3146,37.4868,14.4107,33.6528,32.6719,27.5827,36.1421,78.9992,86.4491,19.5805,17.9573
34.0258,88.8992,56.3397,78.3810,43.4005,85.1162,64.4836,40.6869,47.7405,69.8926,27.8556,49.3147,70.8519,35.1460,25.3338,52.6517,18.4287,94.3371,98.9800,63.4978,86.8966,39.6031,14.3162,34.3614,32.4350,28.1713,36.5999,79.2135,85.8932,19.8831,18.0953
34.3767,86.7297,57.0040,76.4618,46.4271,82.8769,64.4119,40.9125,47.1112,72.8082,27.2098,49.1295,69.8452,35.4347,25.3680,52.1221,17.8496,93.7347,100.1793,65.7145,90.4330,41.0355,14.4545,34.9415,32.1523,27.6708,37.1091,78.6120,84.6124,19.8162,18.1918
34.7844,87.7514,55.7840,72.0827,48.4871,86.0680,65.1557,43.0009,47.7898,69.7832,28.5031,49.2601,66.4851,35.5635,24.4856,52.3190,17.9990,92.8869,98.6568,65.0081,87.0768,39.8752,14.8943,33.8353,32.3345,26.6390,38.6088,79.4997,80.5402,20.1205,18.1490
36.4274,90.6592,54.8461,71.6651,48.0549,87.2030,68.4699,43.9720,47.6618,66.8938,28.5235,46.7799,66.5345,35.0550,24.4996,53.9165,18.3747,97.9033,100.6720,64.3767,87.8025,41.7311,14.9805,32.7012,31.0999,26.7781,37.0354,79.7153,78.9647,20.5320,18.2600
37.4191,90.5701,52.7796,73.3820,47.5546,89.8953,69.6664,42.8848,47.6981,67.9907,28.3621,45.5820,64.9458,33.0373,23.7474,51.9312,19.3067,98.5548,96.7391,63.3522,86.0059,41.1164,15.5840,32.7270,31.3193,27.2430,38.0260,76.9738,76.9986,21.3770,18.2677
38.7048,90.5642,53.1045,71.0730,46.8813,93.7262,66.3891,42.5730,47.4044,66.5103,27.4889,43.7761,66.9611,33.5374,23.9250,52.1912,19.5043,92.9556,98.1290,61.9694,85.5391,41.9953,16.1020,33.1696,31.1423,28.5137,38.1371,81.9327,80.6694,21.7468,18.3143
38.5175,89.5514,55.0686,72.7031,46.8164,91.9414,64.8199,44.2406,45.5242,67.5287,27.0294,43.0150,66.2350,33.8093,23.7549,52.0066,19.1003,98.1142,101.6391,62.4431,84.4156,42.1137,15.6640,33.0216,30.6861,29.7183,39.0505,82.2995,82.3735,22.0012,18.3438
37.4326,88.2416,54.2562,73.1753,51.0044,93.3450,65.0807,44.5229,45.6556,69.4561,26.6027,41.9766,66.5409,33.0766,23.9284,50.9055,19.1772,91.6076,96.5114,65.0722,87.7544,45.3857,16.1734,31.9784,30.6964,28.4705,38.2044,79.0161,82.1180,22.1044,18.4684
38.4420,89.3938,54.3324,76.2139,47.9891,95.1562,67.4370,43.9305,45.0601,68.1511,25.7921,41.6206,67.9395,33.0074,24.5223,51.8800,19.8331,89.3890,98.5759,65.7398,84.1679,46.3947,15.3525,32.0245,30.3720,28.3476,39.2750,80.1225,84.3657,21.0423,18.4013
